,child_id,parent_id,child_context,parent_context
0,КРЕСТНЫЙ ОТЕЦ,КРЕСТНЫЙ РОДИТЕЛЬ,"его: «А разве Авель Енукидзе, крестный отец твоей жены, был плох",
1,ОБМАН ПОКУПАТЕЛЕЙ,НАРУШЕНИЕ ПРАВИЛ ТОРГОВЛИ,за продажу некачественных товаров и обман покупателей могут вырасти в несколько,
2,ВОЕННАЯ ТАКТИКА,"ТАКТИКА, ТАКТИЧЕСКИЕ ДЕЙСТВИЯ"," Военная тактика ― одно, а житейская ― совсем",
3,УСМЕШКА,УЛЫБКА, Кривая усмешка шевельнула усики на губе Виталии,
4,РЕЦЕПТУРА ЛЕКАРСТВА,РЕЦЕПТ ПРИГОТОВЛЕНИЯ,,
5,КУЛИНАРНЫЙ РЕЦЕПТ,РЕЦЕПТ ПРИГОТОВЛЕНИЯ,основополагающем труде «Капитал» приводится один кулинарный рецепт. ,
6,ЧИТАТЕЛЬ БИБЛИОТЕКИ,ПОСЕТИТЕЛЬ,,
7,ЗАВСЕГДАТАЙ,ПОСЕТИТЕЛЬ,"во время «демаршей» Ельцина», ― признаётся завсегдатай форума Иван Иваныч. ",
8,БУХГАЛТЕРСКИЙ БАЛАНС,ФИНАНСОВЫЙ ПОКАЗАТЕЛЬ,"не входят ни в один бухгалтерский баланс мироздания ― а, наоборот, служат",
9,ОКУПАЕМОСТЬ КАПИТАЛЬНЫХ ВЛОЖЕНИЙ,ФИНАНСОВЫЙ ПОКАЗАТЕЛЬ,,
10,ПЛАТЕЖЕСПОСОБНОСТЬ,ФИНАНСОВЫЙ ПОКАЗАТЕЛЬ,"финансового положения предприятий, повышается их платёжеспособность, увеличивается доля денежных средств в",
11,МОНЕТИЗАЦИЯ ЭКОНОМИКИ,ФИНАНСОВЫЙ ПОКАЗАТЕЛЬ, Таблица 19 Монетизация экономики России (1999 ― 2002 годы,
12,СОБИРАЕМОСТЬ ПЛАТЕЖЕЙ,ФИНАНСОВЫЙ ПОКАЗАТЕЛЬ,"если исчезнет лишнее промежуточное звено, собираемость платежей вырастет до 98 процентов",
13,ПОКАЗАТЕЛЬ ДЕЯТЕЛЬНОСТИ БАНКА,ФИНАНСОВЫЙ ПОКАЗАТЕЛЬ,,
14,ПОКАЗАТЕЛЬ ДОХОДНОСТИ,ФИНАНСОВЫЙ ПОКАЗАТЕЛЬ, В то время оценочный показатель доходности вновь созданного акционерного общества,
15,РЫНОЧНАЯ КАПИТАЛИЗАЦИЯ,ФИНАНСОВЫЙ ПОКАЗАТЕЛЬ, Рыночная капитализация ВТБ на 29 августа,
16,ЛИКВИДНОСТЬ (ФИНАНСОВЫЙ ПОКАЗАТЕЛЬ),ФИНАНСОВЫЙ ПОКАЗАТЕЛЬ,,
17,ТУРИЗМ,ПУТЕШЕСТВИЕ,"это не альпинизм, а горный туризм, то есть, не так опасно",
18,ПАЛОМНИЧЕСТВО,ПУТЕШЕСТВИЕ,"в 1938 году вышла книжка ""Паломничество в Каталонию"", в которой он",
19,КРУИЗ,ПУТЕШЕСТВИЕ,"Испытуемый Р.: рис. 1― море, круиз; рис. 2― тот же пароход",
20,КРУГОВОЙ ТУР,ПУТЕШЕСТВИЕ,,
21,СПОРТИВНЫЙ ПОХОД,ПУТЕШЕСТВИЕ,"что это был не просто спортивный поход к вершине планеты, а",
22,АВТОСТОП (ПУТЕШЕСТВИЕ),ПУТЕШЕСТВИЕ,,
23,"СТРАНСТВОВАТЬ, БРОДИТЬ ПО СВЕТУ",ПУТЕШЕСТВИЕ,,
24,РАЗЪЕЗЖАТЬ С МЕСТА НА МЕСТО,ПУТЕШЕСТВИЕ,,
25,ТУРИСТИЧЕСКАЯ ПОЕЗДКА,ПУТЕШЕСТВИЕ,"в дальнейшем ""Тур"" и / или ""Туристическая поездка"". ",
26,КРУГОСВЕТНОЕ ПУТЕШЕСТВИЕ,ПУТЕШЕСТВИЕ,"мореплавателя, Фернана Магеллана, совершает первое кругосветное путешествие… ",
27,САФАРИ (ПУТЕШЕСТВИЕ),ПУТЕШЕСТВИЕ,,
28,ПУТЕШЕСТВИЕ ПОД ПАРУСОМ,ПУТЕШЕСТВИЕ,,
29,"КУДРЯВЫЙ, КУРЧАВЫЙ",ВНЕШНЯЯ ЧЕРТА,,
30,"ЧЕТКИЙ, ЧЕТКО ОЧЕРЧЕННЫЙ",ВНЕШНЯЯ ЧЕРТА,,
31,ЗЕРКАЛЬНЫЙ (ГЛАДКИЙ И БЛЕСТЯЩИЙ),ВНЕШНЯЯ ЧЕРТА,,
32,ЖЕМЧУЖНЫЙ ЦВЕТ,ВНЕШНЯЯ ЧЕРТА,"белый, причем самых «природных» оттенков (жемчужный, цвет яичной скорлупы, цвет веревки",
33,ГЛЯНЦЕВЫЙ (БЛЕСТЯЩИЙ),ВНЕШНЯЯ ЧЕРТА,,
34,"ПЕРЕЛИВЧАТЫЙ, С ПЕРЕЛИВАМИ",ВНЕШНЯЯ ЧЕРТА,,
35,"МАТОВЫЙ, НЕГЛЯНЦЕВЫЙ",ВНЕШНЯЯ ЧЕРТА,,
36,"НЕЧЕТКИЙ, НЕОТЧЕТЛИВЫЙ",ВНЕШНЯЯ ЧЕРТА,,
37,УХОЖЕННЫЙ ВИД,ВНЕШНЯЯ ЧЕРТА,все растения имеют здоровый и ухоженный вид. ,
38,"РОГАТЫЙ, С РОГАМИ",ВНЕШНЯЯ ЧЕРТА,,
39,ПОМЯТЫЙ (УТОМЛЕННЫЙ),ВНЕШНЯЯ ЧЕРТА,,
40,ЖЕНСТВЕННОСТЬ,ВНЕШНЯЯ ЧЕРТА,"и роскошные округлые бёдра, но женственность ещё не проснулась в ней",
