child_id,name,parent_id
126551-N,hyponym,147272-N
5792-N,hyponym,7331-N
139523-N,hyponym,135214-N
120440-N,hyponym,112039-N
134577-N,hyponym,123458-N
142833-N,hyponym,123458-N
114270-N,hyponym,106867-N
123427-N,hyponym,106867-N
1277-N,hyponym,7072-N
1746-N,hyponym,7072-N
2782-N,hyponym,7072-N
141479-N,hyponym,7072-N
147246-N,hyponym,7072-N
148988-N,hyponym,7072-N
149444-N,hyponym,7072-N
149509-N,hyponym,7072-N
151228-N,hyponym,7072-N
1633-N,hyponym,5920-N
7646-N,hyponym,5920-N
109570-N,hyponym,5920-N
115760-N,hyponym,5920-N
120709-N,hyponym,5920-N
124925-N,hyponym,5920-N
125236-N,hyponym,5920-N
126470-N,hyponym,5920-N
143590-N,hyponym,5920-N
145752-N,hyponym,5920-N
152353-N,hyponym,5920-N
152390-N,hyponym,5920-N
118856-N,hyponym,151360-N
119007-N,hyponym,151360-N
119165-N,hyponym,151360-N
119958-N,hyponym,151360-N
124862-N,hyponym,151360-N
127523-N,hyponym,151360-N
124969-N,hyponym,151360-N
128660-N,hyponym,151360-N
129401-N,hyponym,151360-N
131948-N,hyponym,151360-N
132727-N,hyponym,151360-N
139116-N,hyponym,151360-N
150307-N,hyponym,151360-N
151653-N,hyponym,151360-N
106115-N,hyponym,7242-N
110438-N,hyponym,7242-N
147613-N,hyponym,7242-N
151027-N,hyponym,7242-N
151029-N,hyponym,7242-N
112004-N,hyponym,111022-N
112585-N,hyponym,111022-N
113769-N,hyponym,111022-N
113770-N,hyponym,111022-N
114996-N,hyponym,111022-N
115142-N,hyponym,111022-N
115650-N,hyponym,111022-N
116671-N,hyponym,111022-N
116848-N,hyponym,111022-N
117400-N,hyponym,111022-N
118269-N,hyponym,111022-N
120241-N,hyponym,111022-N
137813-N,hyponym,111022-N
148625-N,hyponym,111022-N
151504-N,hyponym,111022-N
151970-N,hyponym,111022-N
129946-N,hyponym,563-N
126258-N,hyponym,124398-N
132937-N,hyponym,118914-N
8802-N,hyponym,145529-N
136162-N,hyponym,145529-N
143760-N,hyponym,129701-N
3472-N,hyponym,124530-N
124531-N,hyponym,124530-N
114728-N,hyponym,120166-N
133677-N,hyponym,120166-N
129176-N,hyponym,112070-N
141605-N,hyponym,112070-N
110503-N,hyponym,4987-N
110711-N,hyponym,4987-N
126415-N,hyponym,4987-N
129164-N,hyponym,2982-N
129165-N,hyponym,2982-N
118831-N,hyponym,118611-N
119879-N,hyponym,138391-N
146433-N,hyponym,5161-N
4992-N,hyponym,143391-N
129919-N,hyponym,143391-N
151705-N,hyponym,138403-N
135849-N,hyponym,135467-N
139371-N,hyponym,918-N
4235-N,hyponym,107667-N
4488-N,hyponym,107667-N
114575-N,hyponym,107667-N
133589-N,hyponym,107667-N
123533-N,hyponym,123532-N
133231-N,hyponym,123532-N
9171-N,hyponym,123956-N
7364-N,hyponym,4860-N
7365-N,hyponym,4860-N
8760-N,hyponym,4860-N
110653-N,hyponym,4860-N
113266-N,hyponym,4860-N
113373-N,hyponym,4860-N
126160-N,hyponym,4860-N
129545-N,hyponym,4860-N
130046-N,hyponym,4860-N
131833-N,hyponym,4860-N
131890-N,hyponym,4860-N
138244-N,hyponym,4860-N
141707-N,hyponym,4860-N
120012-N,hyponym,119600-N
139392-N,hyponym,119600-N
135699-N,hyponym,136717-N
136718-N,hyponym,136717-N
125069-N,hyponym,107165-N
112872-N,hyponym,106875-N
116273-N,hyponym,106875-N
120866-N,hyponym,106875-N
125871-N,hyponym,125872-N
141961-N,hyponym,7612-N
114367-N,hyponym,113647-N
9797-N,hyponym,1033-N
152783-N,hyponym,1033-N
100050-N,hyponym,143651-N
106203-N,hyponym,143651-N
3113-N,hyponym,6960-N
107609-N,hyponym,2832-N
107612-N,hyponym,2832-N
107613-N,hyponym,2832-N
107627-N,hyponym,2832-N
107629-N,hyponym,2832-N
107631-N,hyponym,2832-N
107917-N,hyponym,2832-N
109273-N,hyponym,2832-N
113784-N,hyponym,2832-N
124847-N,hyponym,2832-N
128018-N,hyponym,2832-N
141617-N,hyponym,2832-N
148437-N,hyponym,2832-N
154431-N,hyponym,2832-N
127312-N,hyponym,147039-N
121061-N,hyponym,131616-N
121170-N,hyponym,131616-N
123460-N,hyponym,131616-N
116912-N,hyponym,111066-N
111401-N,hyponym,111066-N
130053-N,hyponym,111066-N
3911-N,hyponym,130499-N
147906-N,hyponym,130499-N
116251-N,hyponym,112003-N
121041-N,hyponym,112003-N
8713-N,hyponym,115745-N
115744-N,hyponym,115745-N
116563-N,hyponym,115745-N
120676-N,hyponym,115745-N
133639-N,hyponym,115745-N
120-N,hyponym,3057-N
807-N,hyponym,3057-N
1392-N,hyponym,3057-N
2147-N,hyponym,3057-N
3557-N,hyponym,3057-N
5127-N,hyponym,3057-N
8029-N,hyponym,3057-N
110604-N,hyponym,3057-N
152570-N,hyponym,3057-N
154161-N,hyponym,3057-N
141561-N,hyponym,137224-N
142207-N,hyponym,567-N
142220-N,hyponym,567-N
2072-N,hyponym,2067-N
2073-N,hyponym,2067-N
5951-N,hyponym,2067-N
7960-N,hyponym,2067-N
145141-N,hyponym,2067-N
118077-N,hyponym,111878-N
1685-N,hyponym,119127-N
1885-N,hyponym,119127-N
120458-N,hyponym,119127-N
132095-N,hyponym,119127-N
119648-N,hyponym,151843-N
128651-N,hyponym,128653-N
115462-N,hyponym,9873-N
120029-N,hyponym,114898-N
152742-N,hyponym,114898-N
1375-N,hyponym,847-N
3256-N,hyponym,847-N
7285-N,hyponym,847-N
121977-N,hyponym,847-N
128015-N,hyponym,847-N
131018-N,hyponym,847-N
148666-N,hyponym,847-N
149706-N,hyponym,847-N
151252-N,hyponym,847-N
151618-N,hyponym,847-N
154468-N,hyponym,847-N
114598-N,hyponym,115104-N
115103-N,hyponym,115104-N
146875-N,hyponym,110938-N
112430-N,hyponym,112429-N
112747-N,hyponym,112429-N
115742-N,hyponym,112429-N
116762-N,hyponym,112429-N
134219-N,hyponym,112429-N
2641-N,hyponym,9923-N
2642-N,hyponym,9923-N
101484-N,hyponym,9923-N
110160-N,hyponym,115718-N
116247-N,hyponym,115718-N
121356-N,hyponym,115718-N
9436-N,hyponym,4696-N
1694-N,hyponym,1700-N
2125-N,hyponym,1700-N
5917-N,hyponym,1700-N
6959-N,hyponym,141920-N
6960-N,hyponym,141920-N
140412-N,hyponym,141920-N
5426-N,hyponym,115402-N
139179-N,hyponym,150070-N
150071-N,hyponym,150070-N
135664-N,hyponym,154646-N
3982-N,hyponym,140518-N
117599-N,hyponym,118490-N
118534-N,hyponym,118490-N
119266-N,hyponym,118490-N
138461-N,hyponym,118490-N
140894-N,hyponym,118490-N
118489-N,hyponym,118490-N
138490-N,hyponym,118490-N
115072-N,hyponym,114372-N
128432-N,hyponym,114372-N
128599-N,hyponym,114372-N
132988-N,hyponym,114372-N
138367-N,hyponym,114372-N
143921-N,hyponym,114372-N
152490-N,hyponym,114372-N
1178-N,hyponym,141357-N
2299-N,hyponym,141357-N
135549-N,hyponym,112734-N
148336-N,hyponym,112734-N
108187-N,hyponym,8818-N
108739-N,hyponym,8818-N
132589-N,hyponym,124625-N
130740-N,hyponym,130743-N
119446-N,hyponym,119445-N
125738-N,hyponym,119445-N
113575-N,hyponym,331-N
115051-N,hyponym,331-N
140757-N,hyponym,141381-N
112468-N,hyponym,111767-N
115702-N,hyponym,111767-N
118154-N,hyponym,111767-N
131419-N,hyponym,111767-N
151696-N,hyponym,111767-N
4162-N,hyponym,4263-N
116497-N,hyponym,4263-N
119030-N,hyponym,118355-N
119672-N,hyponym,118355-N
151572-N,hyponym,118355-N
7967-N,hyponym,109299-N
112612-N,hyponym,109299-N
131818-N,hyponym,109299-N
131821-N,hyponym,109299-N
4491-N,hyponym,514-N
151661-N,hyponym,514-N
4248-N,hyponym,1516-N
3597-N,hyponym,121378-N
548-N,hyponym,142362-N
2990-N,hyponym,142362-N
5799-N,hyponym,142362-N
147622-N,hyponym,142362-N
127135-N,hyponym,123531-N
113121-N,hyponym,128916-N
128915-N,hyponym,128916-N
152718-N,hyponym,128916-N
111370-N,hyponym,106548-N
111386-N,hyponym,106548-N
111606-N,hyponym,106548-N
115186-N,hyponym,106548-N
117269-N,hyponym,106548-N
118571-N,hyponym,106548-N
124267-N,hyponym,106548-N
120294-N,hyponym,106548-N
111274-N,hyponym,106548-N
120250-N,hyponym,106548-N
121366-N,hyponym,106548-N
124141-N,hyponym,106548-N
125197-N,hyponym,106548-N
126685-N,hyponym,106548-N
128366-N,hyponym,106548-N
