child,parent,label
религия,крестный родитель,0
христианство,крестный родитель,0
правовая система,нарушение правил торговли,0
торговля,нарушение правил торговли,0
преступление,нарушение правил торговли,0
экономика,забор воды,0
коммунальное хозяйство,забор воды,0
филология,французский язык,0
выборы,городская избирательная комиссия,0
правовая система,подведомственность судам,0
судоустройство,подведомственность судам,0
наука,сейсмическая станция,0
экономика,финансовый показатель,0
финансовая сфера,финансовый показатель,0
туризм,путешествие,0
промышленность,жевательная резинка,0
экономика,жевательная резинка,0
искусство,саксофон,0
музыкальное искусство,саксофон,0
биология,бурундук,0
зоология,бурундук,0
экономика,инфляция,0
судоходство,мостик (площадка),0
медицина,функциональная недостаточность органа,0
физиологическая наука,функциональная недостаточность органа,0
вооруженный конфликт,завоевать в ходе войны,0
антропология,тамилы,0
промышленность,варка (технологический процесс),0
антропология,ливанцы,0
отдых,оперный спектакль,0
искусство,оперный спектакль,0
музыкальное искусство,оперный спектакль,0
театральное искусство,оперный спектакль,0
филология,оперный спектакль,0
литература,оперный спектакль,0
медицина,флюорографическое обследование,0
фотоискусство,флюорографическое обследование,0
радиационная медицина,флюорографическое обследование,0
спорт,дзюдо,0
спортивная борьба,дзюдо,0
мода,валенки,0
обувь,валенки,0
религия,православный монах,0
христианство,православный монах,0
православие,православный монах,0
промышленность,часовая промышленность,0
инженерное дело,инженерное дело,0
медицина,гипертоническая болезнь,0
физиологическая наука,гипертоническая болезнь,0
медицина,медицинское учебное заведение,0
сфера образования,медицинское учебное заведение,0
издательско-полиграфическая деятельность,наборная касса,0
вооруженный конфликт,ветеран великой отечественной войны,0
социальная защита,ветеран великой отечественной войны,0
искусство,рапсодия,0
музыкальное искусство,рапсодия,0
наука,арабистика,0
филология,арабистика,0
отдых,авансцена,0
отдых,пеший поход,0
туризм,пеший поход,0
транспортная сфера,санная повозка,0
медицина,онкология,0
правовая система,финансовое нарушение,0
кулинарное искусство,толстая кишка,0
зоология,толстая кишка,0
физиологическая наука,толстая кишка,0
анатомия (наука),толстая кишка,0
автомобильный транспорт,автомобиль газ,0
промышленность,биотехнология,0
биохимия,биотехнология,0
микробиология,биотехнология,0
религия,богородица,0
христианство,богородица,0
семья,богородица,0
экономика,городская собственность,0
половая жизнь,яичник,0
зоология,яичник,0
анатомия (наука),яичник,0
