concept_id,entry_id,id,lemma,main_word,meaning,name,part_of_speech,poses,synset_id,synt_type
126480,182891,126480-A-182891,ПАНЦИРНЫЙ,,3,ПАНЦИРНЫЙ,Adj,,126480-A,Adj
126480,172706,126480-A-172706,КОЛЬЧУЖНЫЙ,,1,КОЛЬЧУЖНЫЙ,Adj,,126480-A,Adj
102174,198133,102174-A-198133,САРОВСКИЙ,,1,САРОВСКИЙ,Adj,,102174-A,Adj
105722,684134,105722-A-684134,ЛОДЕЙНОПОЛЬСКИЙ,,1,ЛОДЕЙНОПОЛЬСКИЙ,Adj,,105722-A,Adj
6050,112740,6050-A-112740,ТЕПЛОЭНЕРГЕТИЧЕСКИЙ,,1,ТЕПЛОЭНЕРГЕТИЧЕСКИЙ,Adj,,6050-A,Adj
4567,691280,4567-A-691280,ОРГТЕХНИЧЕСКИЙ,,1,ОРГТЕХНИЧЕСКИЙ,Adj,,4567-A,Adj
113756,206337,113756-A-206337,НЕФТЕПЕРЕГОННЫЙ,,1,НЕФТЕПЕРЕГОННЫЙ,Adj,,113756-A,Adj
5335,159965,5335-A-159965,УЦЕНОЧНЫЙ,,1,УЦЕНОЧНЫЙ,Adj,,5335-A,Adj
125287,170023,125287-A-170023,БЕЛЕСЫЙ,,1,БЕЛЕСЫЙ,Adj,,125287-A,Adj
105540,130864,105540-A-130864,АРКТИЧЕСКИЙ,,1,АРКТИЧЕСКИЙ,Adj,,105540-A,Adj
105540,726713,105540-A-726713,ПРИАРКТИЧЕСКИЙ,,1,ПРИАРКТИЧЕСКИЙ,Adj,,105540-A,Adj
143027,671220,143027-A-671220,БИОМЕХАНИЧЕСКИЙ,,1,БИОМЕХАНИЧЕСКИЙ,Adj,,143027-A,Adj
5817,107726,5817-A-107726,НОТНЫЙ,,2,НОТНЫЙ,Adj,,5817-A,Adj
139118,185785,139118-A-185785,МНОГОСТОРОННИЙ,,3,МНОГОСТОРОННИЙ,Adj,,139118-A,Adj
147828,715409,147828-A-715409,КРУГЛОСУТОЧНЫЙ,,1,КРУГЛОСУТОЧНЫЙ,Adj,,147828-A,Adj
4882,154111,4882-A-154111,СТАДНЫЙ,,1,СТАДНЫЙ,Adj,,4882-A,Adj
117984,141885,117984-A-141885,МАНИАКАЛЬНЫЙ,,2,МАНИАКАЛЬНЫЙ,Adj,,117984-A,Adj
5390,144785,5390-A-144785,ОПЕРАЦИОННЫЙ,,1,ОПЕРАЦИОННЫЙ,Adj,,5390-A,Adj
5390,144783,5390-A-144783,ОПЕРАТИВНЫЙ,,2,ОПЕРАТИВНЫЙ,Adj,,5390-A,Adj
5390,113989,5390-A-113989,ХИРУРГИЧЕСКИЙ,,3,ХИРУРГИЧЕСКИЙ,Adj,,5390-A,Adj
5390,715256,5390-A-715256,ПОСЛЕОПЕРАЦИОННЫЙ,,1,ПОСЛЕОПЕРАЦИОННЫЙ,Adj,,5390-A,Adj
111158,139910,111158-A-139910,КАШАЛОТОВЫЙ,,1,КАШАЛОТОВЫЙ,Adj,,111158-A,Adj
110333,137167,110333-A-137167,ДОНОЧНЫЙ,,1,ДОНОЧНЫЙ,Adj,,110333-A,Adj
140777,211424,140777-A-211424,ПЕРВИЧНЫЙ,,1,ПЕРВИЧНЫЙ,Adj,,140777-A,Adj
5300,121378,5300-A-121378,НЕРЕСТОВЫЙ,,1,НЕРЕСТОВЫЙ,Adj,,5300-A,Adj
103271,130431,103271-A-130431,САЛЕХАРДСКИЙ,,1,САЛЕХАРДСКИЙ,Adj,,103271-A,Adj
148781,144487,148781-A-144487,ОВСЯНЫЙ,,3,ОВСЯНЫЙ,Adj,,148781-A,Adj
104136,130250,104136-A-130250,ЙЕМЕНСКИЙ,,1,ЙЕМЕНСКИЙ,Adj,,104136-A,Adj
103544,190248,103544-A-190248,АМАЗОНСКИЙ,,1,АМАЗОНСКИЙ,Adj,,103544-A,Adj
112842,136078,112842-A-136078,ГЛУБОКИЙ,,3,ГЛУБОКИЙ,Adj,,112842-A,Adj
112842,206148,112842-A-206148,ГЛУБОЧАЙШИЙ,,3,ГЛУБОЧАЙШИЙ,Adj,,112842-A,Adj
112842,722327,112842-A-722327,БОЛЬШОЙ ПО ГЛУБИНА,БОЛЬШОЙ,1,БОЛЬШОЙ ПО ГЛУБИНЕ,Adj,Adj Prep N,112842-A,AdjG
107943,141310,107943-A-141310,ЛАСОЧИЙ,,1,ЛАСОЧИЙ,Adj,,107943-A,Adj
146,701452,146-A-701452,НЕФТЕПРОДУКТОВЫЙ,,1,НЕФТЕПРОДУКТОВЫЙ,Adj,,146-A,Adj
108613,719744,108613-A-719744,КОМБИНЕЗОНЧИК,,1,КОМБИНЕЗОНЧИК,Adj,,108613-A,Adj
