concept_id,entry_id,id,lemma,main_word,meaning,name,part_of_speech,poses,synset_id,synt_type
4223,756841,4223-V-756841,ЛИТЬ ДОЖДЬ,ЛИТЬ,1,ЛЬЕТ ДОЖДЬ,V,V N,4223-V,VG
4223,756842,4223-V-756842,ДОЖДЬ ЛИТЬ,ЛИТЬ,1,ДОЖДЬ ЛЬЕТ,V,N V,4223-V,VG
4223,754542,4223-V-754542,ЛИТЬ КАК ИЗ ВЕДРО,ЛИТЬ,1,ЛИТЬ КАК ИЗ ВЕДРА,V,V Conj Prep N,4223-V,VG
129120,729945,129120-V-729945,ПОЛЬЗОВАТЬСЯ ИЗВЕСТНОСТЬ,ПОЛЬЗОВАТЬСЯ,1,ПОЛЬЗОВАТЬСЯ ИЗВЕСТНОСТЬЮ,V,V N,129120-V,VG
129120,178361,129120-V-178361,СЧИТАТЬСЯ,,3,СЧИТАТЬСЯ,V,,129120-V,V
129120,178097,129120-V-178097,СЛЫТЬ,,1,СЛЫТЬ,V,,129120-V,V
129120,178098,129120-V-178098,ПРОСЛЫТЬ,,1,ПРОСЛЫТЬ,V,,129120-V,V
489,690273,489-V-690273,СНАБДИТЬ ВОДА,СНАБДИТЬ,1,СНАБДИТЬ ВОДОЙ,V,V N,489-V,VG
489,690266,489-V-690266,ОБЕСПЕЧИВАТЬ ВОДА,ОБЕСПЕЧИВАТЬ,1,ОБЕСПЕЧИВАТЬ ВОДОЙ,V,V N,489-V,VG
489,690265,489-V-690265,ОБЕСПЕЧИТЬ ВОДА,ОБЕСПЕЧИТЬ,1,ОБЕСПЕЧИТЬ ВОДОЙ,V,V N,489-V,VG
489,690270,489-V-690270,ПОДАВАТЬ ВОДА,ПОДАВАТЬ,1,ПОДАВАТЬ ВОДУ,V,V N,489-V,VG
489,690269,489-V-690269,ПОДАТЬ ВОДА,ПОДАТЬ,1,ПОДАТЬ ВОДУ,V,V N,489-V,VG
489,690272,489-V-690272,СНАБЖАТЬ ВОДА,СНАБЖАТЬ,1,СНАБЖАТЬ ВОДОЙ,V,V N,489-V,VG
