child_id,name,parent_id
3667-N,instance hyponym,129155-N
104745-N,instance hyponym,144998-N
139387-N,instance hyponym,144998-N
106126-N,instance hyponym,106292-N
106127-N,instance hyponym,106292-N
106293-N,instance hyponym,106292-N
106181-N,instance hyponym,106180-N
106190-N,instance hyponym,106180-N
138805-N,instance hyponym,138804-N
138806-N,instance hyponym,138804-N
138807-N,instance hyponym,138804-N
122099-N,instance hyponym,122100-N
130111-N,instance hyponym,130112-N
101703-N,instance hyponym,136786-N
101705-N,instance hyponym,136786-N
101707-N,instance hyponym,136786-N
101708-N,instance hyponym,136786-N
101709-N,instance hyponym,136786-N
101378-N,instance hyponym,136796-N
102104-N,instance hyponym,136796-N
102106-N,instance hyponym,136796-N
102108-N,instance hyponym,136796-N
102112-N,instance hyponym,136796-N
102113-N,instance hyponym,136796-N
105731-N,instance hyponym,136796-N
105734-N,instance hyponym,136796-N
101352-N,instance hyponym,136781-N
101354-N,instance hyponym,136781-N
101355-N,instance hyponym,136781-N
101361-N,instance hyponym,136781-N
