child_id,name,parent_id
126480-N,POS-synonymy,126480-A
106554-A,hypernym,126480-A
1671-N,domain,126480-A
102174-N,POS-synonymy,102174-A
242-A,hypernym,102174-A
105722-N,POS-synonymy,105722-A
242-A,hypernym,105722-A
6050-N,POS-synonymy,6050-A
1-A,hypernym,6050-A
5077-A,hyponym,6050-A
50-N,domain,6050-A
49-N,domain,6050-A
1-N,domain,6050-A
4567-N,POS-synonymy,4567-A
126759-A,hyponym,4567-A
106555-A,hypernym,4567-A
106554-A,hypernym,4567-A
3624-N,domain,4567-A
113756-N,POS-synonymy,113756-A
6107-A,hyponym,113756-A
113755-A,hypernym,113756-A
50-N,domain,113756-A
5335-V,POS-synonymy,5335-A
5335-N,POS-synonymy,5335-A
115032-A,hypernym,5335-A
49-N,domain,5335-A
1026-N,domain,5335-A
125287-N,POS-synonymy,125287-A
112439-A,hyponym,125287-A
116940-A,hypernym,125287-A
118945-A,hypernym,125287-A
106944-N,domain,125287-A
856-N,domain,125287-A
105540-N,POS-synonymy,105540-A
143027-N,POS-synonymy,143027-A
5851-A,hypernym,143027-A
20-N,domain,143027-A
32-N,domain,143027-A
856-N,domain,143027-A
5817-N,POS-synonymy,5817-A
2966-A,hypernym,5817-A
4142-A,hypernym,5817-A
127460-A,hyponym,5817-A
540-N,domain,5817-A
1432-N,domain,5817-A
8716-N,domain,5817-A
139118-N,POS-synonymy,139118-A
106501-A,hypernym,139118-A
147828-N,POS-synonymy,147828-A
147828-V,POS-synonymy,147828-A
106501-A,hypernym,147828-A
106494-A,hypernym,147828-A
135043-A,hypernym,147828-A
4882-N,POS-synonymy,4882-A
4883-A,hyponym,4882-A
4884-A,hyponym,4882-A
115896-A,hyponym,4882-A
52-N,domain,4882-A
4525-N,domain,4882-A
320-N,domain,4882-A
117984-N,POS-synonymy,117984-A
112996-A,hypernym,117984-A
106651-N,domain,117984-A
5390-V,POS-synonymy,5390-A
5390-N,POS-synonymy,5390-A
5137-A,hyponym,5390-A
7278-A,hyponym,5390-A
106613-A,hypernym,5390-A
9278-A,hyponym,5390-A
110970-A,hyponym,5390-A
113873-A,hyponym,5390-A
114990-A,hyponym,5390-A
8188-A,hyponym,5390-A
1047-N,domain,5390-A
1064-N,domain,5390-A
111158-N,POS-synonymy,111158-A
5062-A,hypernym,111158-A
32-N,domain,111158-A
4525-N,domain,111158-A
40-N,domain,111158-A
110333-N,POS-synonymy,110333-A
106554-A,hypernym,110333-A
501-N,domain,110333-A
140777-N,POS-synonymy,140777-A
107442-A,hypernym,140777-A
118216-A,hypernym,140777-A
5300-N,POS-synonymy,5300-A
5300-V,POS-synonymy,5300-A
115010-A,hypernym,5300-A
4525-N,domain,5300-A
103271-N,POS-synonymy,103271-A
242-A,hypernym,103271-A
107493-A,hypernym,103271-A
148781-N,POS-synonymy,148781-A
355-A,hypernym,148781-A
50-N,domain,148781-A
52-N,domain,148781-A
104136-N,POS-synonymy,104136-A
2062-A,hypernym,104136-A
103544-N,POS-synonymy,103544-A
100022-A,hypernym,103544-A
112842-N,POS-synonymy,112842-A
112843-A,hyponym,112842-A
121413-A,hyponym,112842-A
148797-A,hypernym,112842-A
118958-A,antonym,112842-A
107943-N,POS-synonymy,107943-A
153815-A,hypernym,107943-A
4091-A,hypernym,107943-A
108441-A,hypernym,107943-A
32-N,domain,107943-A
4525-N,domain,107943-A
146-N,POS-synonymy,146-A
147-A,hyponym,146-A
3916-A,hyponym,146-A
153-A,hyponym,146-A
3335-A,hyponym,146-A
8998-A,hypernym,146-A
109328-A,hyponym,146-A
114937-A,hyponym,146-A
141-A,hypernym,146-A
5992-A,hypernym,146-A
1-N,domain,146-A
108613-N,POS-synonymy,108613-A
108612-A,hypernym,108613-A
108777-A,hyponym,108613-A
9077-N,domain,108613-A
1256-N,domain,108613-A
142817-N,POS-synonymy,142817-A
2149-A,hypernym,142817-A
7340-N,domain,142817-A
123482-N,POS-synonymy,123482-A
106515-A,hypernym,123482-A
123852-N,POS-synonymy,123852-A
141896-N,POS-synonymy,141896-A
95-A,hyponym,141896-A
143307-A,hypernym,141896-A
50-N,domain,141896-A
133121-N,domain,141896-A
119824-N,POS-synonymy,119824-A
802-A,hypernym,119824-A
770-N,domain,119824-A
1671-N,domain,119824-A
791-N,domain,119824-A
151596-N,POS-synonymy,151596-A
124570-A,hypernym,151596-A
540-N,domain,151596-A
121364-N,POS-synonymy,121364-A
113996-A,hyponym,121364-A
119234-A,hypernym,121364-A
137664-A,hyponym,121364-A
102075-N,POS-synonymy,102075-A
242-A,hypernym,102075-A
134623-N,POS-synonymy,134623-A
109250-A,hypernym,134623-A
106555-A,hypernym,134623-A
101049-N,POS-synonymy,101049-A
242-A,hypernym,101049-A
101481-N,POS-synonymy,101481-A
242-A,hypernym,101481-A
1057-A,hypernym,101481-A
1489-N,domain,101481-A
120911-N,POS-synonymy,120911-A
2966-A,hypernym,120911-A
8716-N,domain,120911-A
119316-N,POS-synonymy,119316-A
119567-A,hypernym,119316-A
422-N,domain,119316-A
4353-N,POS-synonymy,4353-A
130019-A,hypernym,4353-A
8998-A,hypernym,4353-A
55-N,domain,4353-A
125567-N,POS-synonymy,125567-A
125567-V,POS-synonymy,125567-A
111281-A,hypernym,125567-A
117017-A,hypernym,125567-A
2201-N,domain,125567-A
108669-N,POS-synonymy,108669-A
5243-A,hyponym,108669-A
6000-A,hyponym,108669-A
106554-A,hypernym,108669-A
108670-A,hyponym,108669-A
108781-A,hyponym,108669-A
128913-A,hyponym,108669-A
129266-A,hyponym,108669-A
129269-A,hyponym,108669-A
130134-A,hyponym,108669-A
137217-A,hyponym,108669-A
132685-A,hyponym,108669-A
142926-A,hyponym,108669-A
139469-N,POS-synonymy,139469-A
1663-A,hypernym,139469-A
106714-A,hypernym,139469-A
1671-N,domain,139469-A
143628-N,POS-synonymy,143628-A
106768-A,hypernym,143628-A
120215-N,POS-synonymy,120215-A
107401-A,hypernym,120215-A
118874-N,POS-synonymy,118874-A
106768-A,hypernym,118874-A
137326-N,POS-synonymy,137326-A
106446-A,hypernym,137326-A
135424-A,hyponym,137326-A
107415-N,POS-synonymy,107415-A
106554-A,hypernym,107415-A
108493-A,hyponym,107415-A
5900-A,hypernym,107415-A
143120-N,POS-synonymy,143120-A
1110-A,hypernym,143120-A
106501-A,hypernym,143120-A
49-N,domain,143120-A
1205-N,domain,143120-A
125251-N,POS-synonymy,125251-A
125251-V,POS-synonymy,125251-A
119298-A,hypernym,125251-A
126011-N,POS-synonymy,126011-A
106549-A,hypernym,126011-A
3069-N,POS-synonymy,3069-A
123680-A,hypernym,3069-A
120099-A,hypernym,3069-A
50-N,domain,3069-A
52-N,domain,3069-A
123954-N,domain,3069-A
110644-N,POS-synonymy,110644-A
5464-A,hypernym,110644-A
148925-A,hyponym,106542-A
106542-V,POS-synonymy,106542-A
106542-N,POS-synonymy,106542-A
1359-A,hyponym,106542-A
4021-A,hyponym,106542-A
116005-A,hyponym,106542-A
123744-A,hyponym,106542-A
128394-A,hyponym,106542-A
115963-A,hyponym,106542-A
10070-A,hyponym,106542-A
122207-A,hyponym,106542-A
112965-A,hyponym,106542-A
106858-A,hyponym,106542-A
5191-A,hyponym,106542-A
106881-A,hyponym,106542-A
116273-A,hyponym,106542-A
116312-A,hyponym,106542-A
126386-A,hyponym,106542-A
138440-A,hyponym,106542-A
3049-A,hyponym,106542-A
116134-A,hyponym,106542-A
10119-A,hyponym,106542-A
106982-A,hyponym,106542-A
106986-A,hyponym,106542-A
112010-A,hyponym,106542-A
123430-A,hyponym,106542-A
139737-A,hyponym,106542-A
2458-A,hyponym,106542-A
106808-A,hyponym,106542-A
107121-A,hyponym,106542-A
120151-A,hyponym,106542-A
107125-A,hyponym,106542-A
112454-A,hyponym,106542-A
113220-A,hyponym,106542-A
118222-A,hyponym,106542-A
131630-A,hyponym,106542-A
