child_id,name,parent_id
147272-A,POS-synonymy,147272-N
4544-N,hypernym,147272-N
126551-N,hyponym,147272-N
2201-N,domain,147272-N
1150-N,domain,147272-N
4894-N,hypernym,7331-N
5792-N,hyponym,7331-N
107592-N,hypernym,7331-N
422-N,domain,7331-N
1026-N,domain,7331-N
637-N,domain,7331-N
133812-A,POS-synonymy,133812-N
488-N,hypernym,133812-N
120319-N,hypernym,133812-N
489-N,part holonym,133812-N
49-N,domain,133812-N
123954-N,domain,133812-N
106097-A,POS-synonymy,106097-N
126972-N,hypernym,106097-N
8716-N,domain,106097-N
132584-A,POS-synonymy,132584-N
107496-N,hypernym,132584-N
121750-N,hypernym,132584-N
135214-A,POS-synonymy,135214-N
139523-N,hyponym,135214-N
142491-N,hypernym,135214-N
9316-N,hypernym,9924-N
287-N,domain,9924-N
100070-N,hypernym,104770-N
132615-A,POS-synonymy,132615-N
119313-N,hypernym,132615-N
112039-V,POS-synonymy,112039-N
112037-N,hypernym,112039-N
120440-N,hyponym,112039-N
126984-N,hypernym,112039-N
7793-A,POS-synonymy,7793-N
1645-N,hypernym,7793-N
422-N,domain,7793-N
3015-N,domain,7793-N
106552-N,hypernym,123458-N
134577-N,hyponym,123458-N
142833-N,hyponym,123458-N
106867-A,POS-synonymy,106867-N
2149-N,hypernym,106867-N
114270-N,hyponym,106867-N
123427-N,hyponym,106867-N
9477-A,POS-synonymy,9477-N
106555-N,hypernym,9477-N
4694-N,part holonym,9477-N
148518-N,hypernym,7568-N
20-N,domain,7568-N
129155-A,POS-synonymy,129155-N
106451-N,hypernym,129155-N
2062-N,part meronym,129155-N
3667-N,instance hyponym,129155-N
1277-N,hyponym,7072-N
1746-N,hyponym,7072-N
2116-N,hypernym,7072-N
2782-N,hyponym,7072-N
107583-N,hypernym,7072-N
141479-N,hyponym,7072-N
147246-N,hyponym,7072-N
148988-N,hyponym,7072-N
149444-N,hyponym,7072-N
149509-N,hyponym,7072-N
151228-N,hyponym,7072-N
49-N,domain,7072-N
144282-N,domain,7072-N
5920-V,POS-synonymy,5920-N
5920-A,POS-synonymy,5920-N
1633-N,hyponym,5920-N
2661-N,hypernym,5920-N
7646-N,hyponym,5920-N
106587-N,hypernym,5920-N
109570-N,hyponym,5920-N
115760-N,hyponym,5920-N
120709-N,hyponym,5920-N
124925-N,hyponym,5920-N
125236-N,hyponym,5920-N
126470-N,hyponym,5920-N
143590-N,hyponym,5920-N
145752-N,hyponym,5920-N
152353-N,hyponym,5920-N
152390-N,hyponym,5920-N
1633-N,domain,5920-N
106768-N,hypernym,151360-N
118856-N,hyponym,151360-N
119007-N,hyponym,151360-N
119165-N,hyponym,151360-N
119958-N,hyponym,151360-N
124862-N,hyponym,151360-N
127523-N,hyponym,151360-N
124969-N,hyponym,151360-N
128660-N,hyponym,151360-N
129401-N,hyponym,151360-N
131948-N,hyponym,151360-N
132727-N,hyponym,151360-N
139116-N,hyponym,151360-N
150307-N,hyponym,151360-N
151653-N,hyponym,151360-N
138234-V,POS-synonymy,138234-N
106638-N,hypernym,138234-N
110832-N,hypernym,138234-N
110837-N,hypernym,138234-N
115538-V,POS-synonymy,115538-N
107416-N,hypernym,115538-N
368-N,hypernym,126143-N
50-N,domain,126143-N
49-N,domain,126143-N
9818-A,POS-synonymy,9818-N
140440-N,hypernym,9818-N
540-N,domain,9818-N
1432-N,domain,9818-N
116159-V,POS-synonymy,116159-N
111931-N,hypernym,116159-N
7239-N,hypernym,7242-N
106115-N,hyponym,7242-N
106606-N,hypernym,7242-N
110438-N,hyponym,7242-N
147613-N,hyponym,7242-N
151027-N,hyponym,7242-N
151029-N,hyponym,7242-N
136274-N,instance hypernym,144998-N
104745-N,instance hyponym,144998-N
139387-N,instance hyponym,144998-N
8742-A,POS-synonymy,8742-N
5669-N,hypernym,8742-N
32-N,domain,8742-N
4525-N,domain,8742-N
128613-V,POS-synonymy,128613-N
117047-N,hypernym,128613-N
