child_id,name,parent_id
4223-N,POS-synonymy,4223-V
4223-A,POS-synonymy,4223-V
5068-N,domain,4223-V
129121-V,hyponym,129120-V
148420-V,hypernym,129120-V
489-N,POS-synonymy,489-V
3722-V,hyponym,489-V
9092-V,hyponym,489-V
112144-V,hypernym,489-V
49-N,domain,489-V
123954-N,domain,489-V
488-V,cause,489-V
114961-N,POS-synonymy,114961-V
114452-V,hypernym,114961-V
111599-V,entailment,114961-V
114108-N,POS-synonymy,114108-V
114108-A,POS-synonymy,114108-V
8947-V,hyponym,114108-V
9531-V,hyponym,114108-V
113521-V,hyponym,114108-V
123596-V,hyponym,114108-V
135119-V,hyponym,114108-V
110447-V,hypernym,114108-V
114107-V,hypernym,114108-V
116350-V,hyponym,114108-V
116617-V,hyponym,114108-V
154207-V,hyponym,114108-V
106877-V,hypernym,117621-V
112688-V,entailment,117621-V
107199-V,hypernym,118572-V
118634-V,hyponym,118572-V
120195-N,POS-synonymy,120195-V
116230-V,hypernym,120195-V
111611-N,POS-synonymy,111611-V
6475-V,hyponym,111611-V
7327-V,hyponym,111611-V
126627-V,hyponym,111611-V
121086-V,hyponym,111611-V
123897-V,hyponym,111611-V
115783-V,hyponym,111611-V
8154-V,hyponym,111611-V
106473-V,hyponym,111611-V
106535-V,hyponym,111611-V
106646-V,hypernym,111611-V
106704-V,hyponym,111611-V
111610-V,hyponym,111611-V
112905-V,hyponym,111611-V
112935-V,hyponym,111611-V
114631-V,hyponym,111611-V
116072-V,hyponym,111611-V
116101-V,hyponym,111611-V
118601-V,hyponym,111611-V
120095-V,hyponym,111611-V
123478-V,hyponym,111611-V
127249-V,hyponym,111611-V
133750-V,hyponym,111611-V
75-V,hyponym,111611-V
124167-V,hyponym,111611-V
141143-V,hyponym,111611-V
147638-V,hyponym,111611-V
116921-V,hypernym,119961-V
118302-V,hypernym,119961-V
106651-N,domain,119961-V
115075-N,POS-synonymy,115075-V
115072-V,hyponym,115075-V
116303-V,hypernym,115075-V
113006-A,POS-synonymy,113006-V
113006-N,POS-synonymy,113006-V
106495-V,hypernym,113006-V
118238-V,hypernym,121198-V
9077-N,domain,121198-V
1256-N,domain,121198-V
111690-V,hypernym,126326-V
126314-V,hypernym,126326-V
140496-N,POS-synonymy,140496-V
112699-V,hypernym,140496-V
116221-N,POS-synonymy,116221-V
111021-V,hypernym,116221-V
111656-V,hypernym,116221-V
124595-V,hyponym,116221-V
136971-V,hyponym,116221-V
111144-V,entailment,116221-V
137950-N,POS-synonymy,137950-V
115660-V,hypernym,137950-V
137342-V,hyponym,137950-V
4659-N,POS-synonymy,4659-V
112280-V,hypernym,4659-V
49-N,domain,4659-V
1276-N,domain,4659-V
123954-N,domain,4659-V
3844-N,POS-synonymy,3844-V
3844-A,POS-synonymy,3844-V
4340-V,hyponym,3844-V
253-V,hypernym,3844-V
52-N,domain,3844-V
6293-N,domain,3844-V
322-N,domain,3844-V
111606-N,POS-synonymy,111606-V
106548-V,hypernym,111606-V
111609-V,hyponym,111606-V
4780-V,cause,111606-V
150723-N,POS-synonymy,150723-V
120647-V,hypernym,150723-V
124609-V,hypernym,150723-V
8529-N,POS-synonymy,8529-V
2153-V,hypernym,8529-V
110893-V,hypernym,8529-V
149461-V,hyponym,8529-V
120458-N,POS-synonymy,120458-V
119127-V,hypernym,120458-V
128351-N,POS-synonymy,128351-V
128351-A,POS-synonymy,128351-V
3406-V,hypernym,128351-V
106565-V,hypernym,128351-V
106665-V,hypernym,128351-V
1047-N,domain,128351-V
2921-N,domain,128351-V
140719-N,POS-synonymy,140719-V
111369-V,hypernym,140719-V
128680-V,cause,140719-V
114462-V,hypernym,129800-V
115313-V,hypernym,129800-V
32-N,domain,129800-V
2921-N,domain,129800-V
123908-A,POS-synonymy,123908-V
123908-N,POS-synonymy,123908-V
150435-V,hypernym,123908-V
125769-N,POS-synonymy,125769-V
115236-V,hypernym,125769-V
120589-V,cause,125769-V
117213-V,entailment,125769-V
115965-N,POS-synonymy,115965-V
113962-V,hypernym,115965-V
116657-V,hyponym,115965-V
119109-V,hyponym,115965-V
123373-V,hyponym,115965-V
144632-V,hypernym,115965-V
9588-N,POS-synonymy,9588-V
106501-V,hypernym,9588-V
540-N,domain,9588-V
111845-V,hypernym,117932-V
115522-V,hypernym,117932-V
117933-V,hyponym,117932-V
119373-V,hyponym,117932-V
139436-V,hyponym,117932-V
121061-N,POS-synonymy,121061-V
115978-V,hypernym,121061-V
131616-V,hypernym,121061-V
106720-N,domain,121061-V
116173-N,POS-synonymy,116173-V
116100-V,hypernym,116173-V
116172-V,hyponym,116173-V
106915-V,hypernym,120185-V
115601-V,hyponym,120185-V
120186-V,hyponym,120185-V
131638-V,hyponym,120185-V
140767-V,hyponym,120185-V
106651-N,domain,120185-V
134174-N,POS-synonymy,134174-V
134174-A,POS-synonymy,134174-V
126629-V,hyponym,134174-V
110242-V,hypernym,134174-V
4178-N,domain,134174-V
106924-N,domain,134174-V
106898-V,hypernym,150069-V
143777-N,POS-synonymy,143777-V
111329-V,hypernym,143777-V
115526-V,hypernym,143777-V
106485-V,hypernym,137320-V
106506-V,hypernym,137320-V
147492-N,POS-synonymy,147492-V
1885-V,hypernym,147492-V
141310-V,hypernym,147492-V
142317-V,hyponym,147492-V
141341-V,cause,147492-V
118862-N,POS-synonymy,118862-V
118863-V,hyponym,118862-V
120955-V,hypernym,118862-V
127237-N,POS-synonymy,127237-V
106638-V,hypernym,127237-V
128332-V,hyponym,127237-V
136910-V,cause,127237-V
113973-N,POS-synonymy,113973-V
1374-V,hyponym,113973-V
7724-V,hyponym,113973-V
110447-V,hypernym,113973-V
113971-V,hyponym,113973-V
117587-V,hyponym,113973-V
125957-N,POS-synonymy,125957-V
125957-A,POS-synonymy,125957-V
107592-V,hypernym,125957-V
111260-V,hypernym,125957-V
111619-V,hypernym,111627-V
111626-V,hypernym,111627-V
117873-V,hyponym,111627-V
118595-N,POS-synonymy,118595-V
118594-V,hypernym,118595-V
126156-V,hyponym,118595-V
133659-V,hyponym,118595-V
120855-V,entailment,118595-V
117523-N,POS-synonymy,117523-V
106882-V,hypernym,117523-V
115663-V,hypernym,117523-V
1671-N,domain,117523-V
7660-N,POS-synonymy,7660-V
7660-A,POS-synonymy,7660-V
107696-V,hypernym,7660-V
422-N,domain,7660-V
3015-N,domain,7660-V
131736-N,POS-synonymy,131736-V
106897-N,POS-synonymy,106897-V
106897-A,POS-synonymy,106897-V
106686-V,hypernym,106897-V
106898-V,hypernym,106897-V
142317-V,hyponym,106897-V
150802-V,hyponym,106897-V
145151-V,hyponym,106897-V
120139-A,POS-synonymy,120139-V
120139-N,POS-synonymy,120139-V
107129-V,hypernym,120139-V
118456-V,hypernym,120139-V
131926-V,hyponym,120139-V
107418-V,hypernym,115551-V
2465-V,entailment,115551-V
140492-N,POS-synonymy,140492-V
140492-A,POS-synonymy,140492-V
5473-V,hyponym,140492-V
6089-V,hyponym,140492-V
6529-V,hyponym,140492-V
110437-V,hypernym,140492-V
111437-V,hypernym,140492-V
146641-V,hyponym,140492-V
147550-V,hyponym,140492-V
111611-V,entailment,140492-V
144-N,POS-synonymy,144-V
144-A,POS-synonymy,144-V
5077-V,hypernym,144-V
145131-V,hypernym,144-V
145137-V,hypernym,144-V
50-N,domain,144-V
49-N,domain,144-V
1-N,domain,144-V
123954-N,domain,144-V
1567-N,POS-synonymy,1567-V
10119-V,hypernym,1567-V
107489-V,hypernym,130882-V
117028-V,hyponym,130882-V
107490-V,entailment,130882-V
118639-N,POS-synonymy,118639-V
106587-V,hypernym,118639-V
119502-V,hypernym,118639-V
133661-V,hyponym,118639-V
107467-N,POS-synonymy,107467-V
106974-V,hypernym,107467-V
422-N,domain,107467-V
647-V,entailment,107467-V
110417-V,hypernym,130184-V
126847-N,POS-synonymy,126847-V
107404-V,hypernym,126847-V
106565-V,hypernym,126847-V
120126-V,hypernym,126847-V
1622-N,domain,126847-V
1047-N,domain,126847-V
2921-N,domain,126847-V
8477-N,domain,126847-V
115157-A,POS-synonymy,115157-V
115157-N,POS-synonymy,115157-V
114453-V,hypernym,115157-V
117650-V,cause,115157-V
115158-V,entailment,115157-V
117660-N,POS-synonymy,117660-V
111435-V,hypernym,117660-V
112734-N,POS-synonymy,112734-V
106715-V,hypernym,112734-V
