definition,id,part_of_speech,ruthes_name
,147272-N,N,КРЕСТНЫЙ РОДИТЕЛЬ
,7331-N,N,НАРУШЕНИЕ ПРАВИЛ ТОРГОВЛИ
,133812-N,N,ЗАБОР ВОДЫ
"язык французов, один из романских языков, официальный язык Франции, Бельгии, Швейцарии и ряда других стран",106097-N,N,ФРАНЦУЗСКИЙ ЯЗЫК
"тонкая гибкая перегородка, перепонка или пластина",132584-N,N,МЕМБРАНА  (ДЕТАЛЬ УСТРОЙСТВА)
"линия поведения, а также совокупность приёмов и способов для достижения какой-либо цели",135214-N,N,"ТАКТИКА, ТАКТИЧЕСКИЕ ДЕЙСТВИЯ"
,9924-N,N,ГОРОДСКАЯ ИЗБИРАТЕЛЬНАЯ КОМИССИЯ
,104770-N,N,ТАНГАНЬИКА
,132615-N,N,МЕРЗЛЫЙ (НЕГОДНЫЙ)
"мимическое движение или состояние лица, показывающее расположенность к смеху или выражающая привет, удовольствие либо иронию, насмешку",112039-N,N,УЛЫБКА
,7793-N,N,ПОДВЕДОМСТВЕННОСТЬ СУДАМ
наставление о способе изготовления чего-либо,123458-N,N,РЕЦЕПТ ПРИГОТОВЛЕНИЯ
"лицо, посещающее, либо посетившее кого-либо, что-либо",106867-N,N,ПОСЕТИТЕЛЬ
,9477-N,N,КАРБЮРАТОР
,7568-N,N,СЕЙСМИЧЕСКАЯ СТАНЦИЯ
,129155-N,N,ЗАРУБЕЖНЫЙ МИР
,7072-N,N,ФИНАНСОВЫЙ ПОКАЗАТЕЛЬ
,5920-N,N,ПУТЕШЕСТВИЕ
,151360-N,N,ВНЕШНЯЯ ЧЕРТА
"укорачивать, уменьшать, отрезая часть",138234-N,N,УРЕЗАТЬ (УКОРОТИТЬ)
разрывать что-либо не до конца (сверху или с краю),115538-N,N,НАДОРВАТЬ (НЕ ДО КОНЦА РАЗОРВАТЬ)
,126143-N,N,ЖЕВАТЕЛЬНАЯ РЕЗИНКА
"музыкальный инструмент семейства деревянных духовых, изготовляемый из латуни",9818-N,N,САКСОФОН
"сделать гладким, уничтожив неровности; выровнять",116159-N,N,СГЛАДИТЬ (ВЫРОВНЯТЬ)
,7242-N,N,ГЛАВА ОРГАНИЗАЦИИ
,144998-N,N,ГОРОД ХОРВАТИИ
,8742-N,N,БУРУНДУК
,128613-N,N,РАЗГИЛЬДЯЙСТВО
,148245-N,N,МНОГОНАЦИОНАЛЬНОЕ НАСЕЛЕНИЕ
,146690-N,N,ПОРТРЕТИРОВАНИЕ
"бросить , резким движением заставить перемещаться в воздухе и т.п.",111022-N,N,БРОСИТЬ (ПЕРЕМЕСТИТЬ)
"чрезмерное увеличение количества обращающихся в стране бумажных денег, сопровождающееся их обесцениванием",563-N,N,ИНФЛЯЦИЯ
"заходить, визит",124398-N,N,ЗАЙТИ ПО ПУТИ
"не слишком большой по размеру, количеству, силе и т. п., не выше среднего уровня, меры",118914-N,N,УМЕРЕННЫЙ (СРЕДНИЙ)
"на кораблях, некоторых машинах и т. п. — площадка на возвышении, вышка для наблюдения за чем-либо, командования кем-либо, чем-либо",116381-N,N,МОСТИК (ПЛОЩАДКА)
