child_id,name,parent_id
2201-N,domain,147272-N
1150-N,domain,147272-N
422-N,domain,7331-N
1026-N,domain,7331-N
637-N,domain,7331-N
49-N,domain,133812-N
123954-N,domain,133812-N
8716-N,domain,106097-N
287-N,domain,9924-N
422-N,domain,7793-N
3015-N,domain,7793-N
20-N,domain,7568-N
49-N,domain,7072-N
144282-N,domain,7072-N
1633-N,domain,5920-N
50-N,domain,126143-N
49-N,domain,126143-N
540-N,domain,9818-N
1432-N,domain,9818-N
32-N,domain,8742-N
4525-N,domain,8742-N
49-N,domain,563-N
205-N,domain,116381-N
1047-N,domain,145529-N
2921-N,domain,145529-N
1671-N,domain,115073-N
3744-N,domain,133599-N
50-N,domain,129701-N
3744-N,domain,105431-N
1489-N,domain,4262-N
540-N,domain,4262-N
1432-N,domain,4262-N
7541-N,domain,4262-N
8716-N,domain,4262-N
1579-N,domain,4262-N
1047-N,domain,9766-N
9907-N,domain,9766-N
134951-N,domain,9766-N
1622-N,domain,109649-N
109299-N,domain,109649-N
9077-N,domain,108174-N
1255-N,domain,108174-N
2201-N,domain,126342-N
1150-N,domain,126342-N
1127-N,domain,126342-N
50-N,domain,8832-N
154190-N,domain,154190-N
1047-N,domain,9407-N
2921-N,domain,9407-N
1047-N,domain,2982-N
1607-N,domain,2982-N
1355-N,domain,142874-N
1671-N,domain,147927-N
2517-N,domain,147927-N
540-N,domain,111447-N
1432-N,domain,111447-N
20-N,domain,112494-N
8716-N,domain,112494-N
1489-N,domain,124908-N
1489-N,domain,152376-N
1633-N,domain,152376-N
51-N,domain,111080-N
1047-N,domain,5161-N
422-N,domain,143391-N
123741-N,domain,137047-N
4525-N,domain,137047-N
2921-N,domain,137047-N
151602-N,domain,137047-N
155-N,domain,138403-N
50-N,domain,918-N
5852-N,domain,918-N
1389-N,domain,918-N
2201-N,domain,3035-N
1150-N,domain,3035-N
761-N,domain,3035-N
49-N,domain,123956-N
7340-N,domain,110079-N
4525-N,domain,110079-N
151602-N,domain,110079-N
2201-N,domain,4860-N
137759-N,antonym,119600-N
106651-N,domain,119600-N
205-N,domain,125142-N
540-N,domain,136717-N
1432-N,domain,136717-N
1671-N,domain,115379-N
637-N,domain,143377-N
3382-N,domain,143377-N
2971-N,domain,143377-N
32-N,domain,144320-N
52-N,domain,144320-N
6293-N,domain,144320-N
322-N,domain,144320-N
70-N,domain,3459-N
1047-N,domain,9804-N
50-N,domain,9804-N
49-N,domain,9804-N
49-N,domain,128099-N
8716-N,domain,128099-N
1276-N,domain,128099-N
144282-N,domain,128099-N
1432-N,domain,153673-N
32-N,domain,112701-N
6293-N,domain,112701-N
